OutputName;Hidden;OutputUnit;PileFactorValue;DiscretName;DiscretValue;PointFactorValue;OutputValue;BreakValue;SerieFactorValue;LayerFactorValue;PointFactorName;PointFactorUnit;SerieFactorName;SerieFactorUnit;LayerFactorName;LayerFactorUnit
DA.FALCON.7X.7X.V1.DRY.2;1;-1;1;SF;2;32370;80,67;0;6,5;1;GW;-1;DA.FALCON.7X.7X.V1.DRY.3;-1;;-1
;;;;;;37720;84,98;0;6,5;1;;;;;;
;;;;;;43300;88,93;1;6,5;1;;;;;;
;;;;;;51060;99,96;0;6,5;1;;;;;;
;;;;;;59370;110;0;6,5;1;;;;;;
;;;;;;66680;118;0;6,5;1;;;;;;
;;;;;;73070;124,6;0;6,5;1;;;;;;
;;;;;;32370;83,16;0;7;1;;;;;;
;;;;;;37990;87,7;0;7;1;;;;;;
;;;;;;43350;91,47;1;7;1;;;;;;
;;;;;;47800;97,96;0;7;1;;;;;;
;;;;;;53020;105;0;7;1;;;;;;
;;;;;;58050;111;0;7;1;;;;;;
;;;;;;63820;117,4;0;7;1;;;;;;
;;;;;;68270;122,2;0;7;1;;;;;;
;;;;;;73080;127,1;0;7;1;;;;;;
;;;;;;32370;87,2;0;7,5;1;;;;;;
;;;;;;37360;90,75;0;7,5;1;;;;;;
;;;;;;41990;93,56;1;7,5;1;;;;;;
;;;;;;47480;100,6;0;7,5;1;;;;;;
;;;;;;53020;107,5;0;7,5;1;;;;;;
;;;;;;57370;112,7;0;7,5;1;;;;;;
;;;;;;62140;118,1;0;7,5;1;;;;;;
;;;;;;67360;123,6;0;7,5;1;;;;;;
;;;;;;73080;129,2;0;7,5;1;;;;;;
;;;;;;32370;89,88;0;8;1;;;;;;
;;;;;;37500;93,2;0;8;1;;;;;;
;;;;;;42580;96,15;1;8;1;;;;;;
;;;;;;47800;103,3;0;8;1;;;;;;
;;;;;;53020;110;0;8;1;;;;;;
;;;;;;57600;115,4;0;8;1;;;;;;
;;;;;;62280;120,6;0;8;1;;;;;;
;;;;;;66320;125,2;0;8;1;;;;;;
;;;;;;70220;129,9;0;8;1;;;;;;
;;;;;;73080;133,6;0;8;1;;;;;;
;;;;;;32370;92,61;0;8,5;1;;;;;;
;;;;;;36960;95,19;0;8,5;1;;;;;;
;;;;;;41670;97,51;1;8,5;1;;;;;;
;;;;;;47300;105;0;8,5;1;;;;;;
;;;;;;53020;112,5;0;8,5;1;;;;;;
;;;;;;58790;120;0;8,5;1;;;;;;
;;;;;;62690;125;0;8,5;1;;;;;;
;;;;;;67090;130,6;0;8,5;1;;;;;;
;;;;;;32370;94,2;0;9;1;;;;;;
;;;;;;37000;96,69;0;9;1;;;;;;
;;;;;;41080;98,69;1;9;1;;;;;;
;;;;;;45850;105;0;9;1;;;;;;
;;;;;;49480;109,9;0;9;1;;;;;;
;;;;;;53020;115;0;9;1;;;;;;
;;;;;;56110;119,3;0;9;1;;;;;;
;;;;;;32380;96,06;0;9,5;1;;;;;;
;;;;;;37230;98,24;0;9,5;1;;;;;;
;;;;;;41990;100,7;1;9,5;1;;;;;;
;;;;;;44350;104,5;0;9,5;1;;;;;;
;;;;;;46940;108,6;0;9,5;1;;;;;;
;;;;;;49890;113;0;9,5;1;;;;;;
;;;;;;53070;117,5;0;9,5;1;;;;;;
END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE
