OutputName;Hidden;OutputUnit;PileFactorValue;DiscretName;DiscretValue;PointFactorValue;OutputValue;BreakValue;SerieFactorValue;LayerFactorValue;PointFactorName;PointFactorUnit;SerieFactorName;SerieFactorUnit;LayerFactorName;LayerFactorUnit
DA.FALCON.7X.7X.V1.DRY.1;1;-1;1;SF;2;0;74,99;0;75;1;SLOPE;-1;DA.FALCON.7X.7X.V1.DRY.2;-1;;-1
;;;;;;2;75,77;0;75;1;;;;;;
;;;;;;-2;78,85;0;80;1;;;;;;
;;;;;;0;80,03;1;80;1;;;;;;
;;;;;;2;80,94;0;80;1;;;;;;
;;;;;;-2;83,66;0;85;1;;;;;;
;;;;;;0;84,98;1;85;1;;;;;;
;;;;;;2;86,3;0;85;1;;;;;;
;;;;;;-2;88,43;0;90;1;;;;;;
;;;;;;0;90,02;1;90;1;;;;;;
;;;;;;2;91,65;0;90;1;;;;;;
;;;;;;-2;93,15;0;95;1;;;;;;
;;;;;;0;94,97;1;95;1;;;;;;
;;;;;;2;97,1;0;95;1;;;;;;
;;;;;;-2;97,92;0;100;1;;;;;;
;;;;;;0;100;1;100;1;;;;;;
;;;;;;2;102,6;0;100;1;;;;;;
;;;;;;-2;102,6;0;105;1;;;;;;
;;;;;;0;105;1;105;1;;;;;;
;;;;;;2;108,3;0;105;1;;;;;;
;;;;;;-2;107,3;0;110;1;;;;;;
;;;;;;0;110;1;110;1;;;;;;
;;;;;;2;113,9;0;110;1;;;;;;
;;;;;;-2;112;0;115;1;;;;;;
;;;;;;0;115;1;115;1;;;;;;
;;;;;;2;119,5;0;115;1;;;;;;
;;;;;;-2;116,9;0;120;1;;;;;;
;;;;;;0;120;1;120;1;;;;;;
;;;;;;2;124,8;0;120;1;;;;;;
;;;;;;-2;121,9;0;125;1;;;;;;
;;;;;;0;125;1;125;1;;;;;;
;;;;;;2;130;0;125;1;;;;;;
;;;;;;-2;126,9;0;130;1;;;;;;
;;;;;;0;130;1;130;1;;;;;;
;;;;;;2;135;0;130;1;;;;;;
;;;;;;-2;132;0;135;1;;;;;;
;;;;;;0;135;1;135;1;;;;;;
;;;;;;2;139,9;0;135;1;;;;;;
END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE
