OutputName;Hidden;OutputUnit;PileFactorValue;DiscretName;DiscretValue;PointFactorValue;OutputValue;BreakValue;SerieFactorValue;LayerFactorValue;PointFactorName;PointFactorUnit;SerieFactorName;SerieFactorUnit;LayerFactorName;LayerFactorUnit
DIAMOND.DA42.GROUNDROLL.2;1;-1;1;WEIGHT;1300;-35;282,4;0;0;1;TEMP;-1;PA;-1;;-1
;;;;;;-30,05;289,1;0;0;1;;;;;;
;;;;;;-25,02;293,4;0;0;1;;;;;;
;;;;;;-20,07;300,8;0;0;1;;;;;;
;;;;;;-14,98;306,9;0;0;1;;;;;;
;;;;;;-8,377;313,1;0;0;1;;;;;;
;;;;;;1,598;326;0;0;1;;;;;;
;;;;;;9,922;335,8;0;0;1;;;;;;
;;;;;;20,16;361,6;0;0;1;;;;;;
;;;;;;29,94;392,9;0;0;1;;;;;;
;;;;;;37,73;421,8;0;0;1;;;;;;
;;;;;;45;449,4;0;0;1;;;;;;
;;;;;;-35;302,6;0;2000;1;;;;;;
;;;;;;-29,72;310;0;2000;1;;;;;;
;;;;;;-20;322,3;0;2000;1;;;;;;
;;;;;;-11,09;334,6;0;2000;1;;;;;;
;;;;;;-2,234;346,2;0;2000;1;;;;;;
;;;;;;9,459;361,6;0;2000;1;;;;;;
;;;;;;14,81;373,2;0;2000;1;;;;;;
;;;;;;25,05;407;0;2000;1;;;;;;
;;;;;;34,96;445,1;0;2000;1;;;;;;
;;;;;;45;500,4;0;2000;1;;;;;;
;;;;;;-35;326,6;0;4000;1;;;;;;
;;;;;;-25,16;340,1;0;4000;1;;;;;;
;;;;;;-20;349,3;0;4000;1;;;;;;
;;;;;;-10,36;362,2;0;4000;1;;;;;;
;;;;;;-0,05367;378,2;0;4000;1;;;;;;
;;;;;;5,099;388;1;4000;1;;;;;;
;;;;;;9,988;405,2;0;4000;1;;;;;;
;;;;;;15,01;423;0;4000;1;;;;;;
;;;;;;20,03;443,9;0;4000;1;;;;;;
;;;;;;25,25;472,7;0;4000;1;;;;;;
;;;;;;29,87;500,4;0;4000;1;;;;;;
;;;;;;35,02;531,1;0;4000;1;;;;;;
;;;;;;40,24;558,7;0;4000;1;;;;;;
;;;;;;45;588,2;0;4000;1;;;;;;
;;;;;;-35;353,6;0;6000;1;;;;;;
;;;;;;-30,11;359,7;0;6000;1;;;;;;
;;;;;;-25,09;368,9;0;6000;1;;;;;;
;;;;;;-20,14;377,5;0;6000;1;;;;;;
;;;;;;-14,98;384,9;0;6000;1;;;;;;
;;;;;;-7,254;399;0;6000;1;;;;;;
;;;;;;0,01239;409,5;1;6000;1;;;;;;
;;;;;;10,91;469;0;6000;1;;;;;;
;;;;;;19,96;515,7;0;6000;1;;;;;;
;;;;;;30,07;579,6;0;6000;1;;;;;;
;;;;;;45;677,8;0;6000;1;;;;;;
;;;;;;-35;402,1;0;8000;1;;;;;;
;;;;;;-25,02;419,9;0;8000;1;;;;;;
;;;;;;-20,14;431,6;0;8000;1;;;;;;
;;;;;;-15,05;440,8;0;8000;1;;;;;;
;;;;;;-8,113;454,3;0;8000;1;;;;;;
;;;;;;0,01239;468,4;1;8000;1;;;;;;
;;;;;;9,922;524,3;0;8000;1;;;;;;
;;;;;;20,09;583,2;0;8000;1;;;;;;
;;;;;;26,37;625;0;8000;1;;;;;;
;;;;;;34,89;687;0;8000;1;;;;;;
;;;;;;45;768,7;0;8000;1;;;;;;
;;;;;;-35;463,5;0;10000;1;;;;;;
;;;;;;-28,92;475,2;0;10000;1;;;;;;
;;;;;;-19,87;496,7;0;10000;1;;;;;;
;;;;;;-15,12;507,7;0;10000;1;;;;;;
;;;;;;-10,03;518,2;0;10000;1;;;;;;
;;;;;;0,01239;542,1;1;10000;1;;;;;;
;;;;;;9,922;597,4;0;10000;1;;;;;;
;;;;;;19,96;660,6;0;10000;1;;;;;;
;;;;;;29,94;736,1;0;10000;1;;;;;;
;;;;;;37,2;800;0;10000;1;;;;;;
END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE;END_TABLE
